tileset,size,time,std_err
CarcassonneTileset,64,0.024458693650000002,0.00012843371953866228
BasicTileset,64,0.012197864400000001,0.00006929572813796912
Summer,64,NaN,NaN
Castle,64,NaN,NaN
Circuit,64,0.028213116849999997,0.00017877467005079025
CarcassonneTileset,128,0.0894607791,0.0025296075478277403
BasicTileset,128,0.060373460549999994,0.00006197976038719095
Summer,128,NaN,NaN
Castle,128,NaN,NaN
Circuit,128,0.13215748955,0.0001626294356265415
CarcassonneTileset,256,0.35383263125,0.004665829014889786
BasicTileset,256,0.24873461875,0.0002189275005881593
Summer,256,NaN,NaN
Castle,256,NaN,NaN
Circuit,256,0.5509329167500001,0.0034527965264754498
