tileset,size,time,std_err
CarcassonneTileset,64,0.039173441749999996,0.0005158577196718522
BasicTileset,64,0.0160863751,0.00013434925453188447
Summer,64,0.06374424999999999,0.003130676532535082
Castle,64,0.032675452099999995,0.0004180528489184255
Circuit,64,0.0386440459,0.00037916403602357695
CarcassonneTileset,128,0.1078642291,0.0010820409993234168
BasicTileset,128,0.061209020999999995,0.0008849485564461878
Summer,128,0.25407661270000004,0.006662718830547164
Castle,128,0.12017977915,0.0007843135201351223
Circuit,128,0.13839432915,0.0005169328760616872
CarcassonneTileset,256,0.38312743525,0.004900374797188399
BasicTileset,256,0.24864863129999995,0.000462577436161646
Summer,256,1.203571752,0.053918382632732
Castle,256,0.5029335605,0.003448158052406282
Circuit,256,0.5598181956,0.0038839407741770105
