tileset,size,time,std_err
CarcassonneTileset,32,0.01801216245,0.0005479696643776336
BasicTileset,32,0.0067765749,0.000045208657915044044
Summer,32,0.035826527049999994,0.004497093040227186
Castle,32,0.01350471875,0.0002907513233657278
Circuit,32,0.016436991650000003,0.0001344137978904316
CarcassonneTileset,64,0.10664801245,0.0008368853025886798
BasicTileset,64,0.0411563458,0.0003039385216222528
Summer,64,1.3361999645,0.129444783935847
Castle,64,0.0989137416,0.0026203639888979146
Circuit,64,0.09368502475000001,0.0003983820664471103
CarcassonneTileset,96,0.37301088945000005,0.0029315610803537
BasicTileset,96,0.1391636542,0.001405518253369294
Summer,96,NaN,NaN
Castle,96,0.4063892479,0.009895912951319167
Circuit,96,0.3060626501,0.0014464045584819815
CarcassonneTileset,128,0.9711445731499999,0.01141283281244346
BasicTileset,128,0.36696788955000004,0.0041301998682373615
Summer,128,NaN,NaN
Castle,128,1.2953180770500001,0.11196997051721436
Circuit,128,0.78197236885,0.006370370384886061
CarcassonneTileset,160,2.18161179175,0.024476524338238225
BasicTileset,160,0.7959221270500001,0.010308475519308722
Summer,160,NaN,NaN
Castle,160,3.95072249375,0.5855114164989621
Circuit,160,1.67907693125,0.011346785958332287
CarcassonneTileset,192,4.242393160450002,0.05813166665850965
BasicTileset,192,1.55883312285,0.02009117361670592
Summer,192,NaN,NaN
Castle,192,7.3102408083,0.6175696518572699
Circuit,192,3.3745630770000004,0.05485665051249537
CarcassonneTileset,224,7.68232658335,0.10476421461513703
BasicTileset,224,2.8496852918499993,0.04666204657714354
Summer,224,NaN,NaN
Castle,224,NaN,NaN
Circuit,224,5.754781993900001,0.057497539050866416
CarcassonneTileset,256,13.02716482305,0.17284423674076557
BasicTileset,256,4.76340061235,0.061906865207584004
Summer,256,NaN,NaN
Castle,256,NaN,NaN
Circuit,256,9.5232857146,0.10126970918838417
