tileset,size,chunk_size,overlap,discard,single,pair,quad,single_std_dev,pair_std_dev,quad_std_dev,single_count,pair_count,quad_count
Carcassonne,64,4,1,0,1.085086794941876,0.8526742717926123,NaN,-0.05126376785699351,-0.026219755046978224,NaN,120,7538,0
Carcassonne,64,8,1,0,0.8752624216088889,0.831444019496038,NaN,-0.6123215116575578,-0.36654200748802296,NaN,120,7562,0
Carcassonne,64,8,3,2,0.8702596055807852,0.8258773736751095,NaN,0.36688164038522764,0.4427027198184456,NaN,120,7545,0
Summer,64,8,1,0,2.564217973389378,1.9961179850678,1.4758442916860444,-4.867116402891309,-12.895491223404518,-10.532138609528872,40,306,758
Summer,64,16,1,0,2.985001217402099,2.342781666871364,1.6063000958005358,-5.205607746751831,-13.574178756967163,-10.323211955703547,40,306,761
Summer,64,32,1,0,2.635738218978013,2.1318581710550633,1.5050763966565628,-5.364556832227969,-13.49959173615641,-10.903777897682428,40,306,761
Summer,64,8,3,2,4.732078728408615,3.5242839543574744,2.3372521589568924,-6.079473435161854,-13.21911635425279,-6.649299595390483,40,306,760
Summer,64,16,3,2,3.4255338503081503,2.713093599945341,1.8223065869698651,-4.738446162671388,-13.669596179128296,-9.983435613147,40,306,759
Summer,64,32,3,2,3.3851319111372646,2.58362728459918,1.7599090376862327,-4.379001041580736,-10.683125918246867,-5.9556551825330635,40,306,761
Summer,64,16,7,4,5.016069213149514,3.6895812698175097,2.2946114507326096,-5.818999533037723,-14.683515004298814,-8.33802722256517,40,306,761
Summer,64,32,7,4,3.0626765516016636,2.36676950755869,1.5916323797971776,-3.8936396501914166,-11.712501804726344,-8.900211375579797,40,306,760
Circuit,64,8,1,0,10.969798318784484,3.8683976173517807,1.4564164810202815,-18.05066946488713,-53.44627577060655,-20.263714466698886,40,837,3073
Circuit,64,16,1,0,9.762322856703303,3.5772011923056857,1.3672983171496804,-15.64293868616816,-49.848985145998604,-17.01404520811525,40,837,3083
Circuit,64,32,1,0,7.591138387173487,2.8256899414516607,1.2010365406822892,-16.07805000131727,-42.645064201254186,-15.734169443573233,40,839,3046
Circuit,64,8,3,2,12.347332480243855,4.266861659317841,1.5442171671089708,-19.320699570298437,-58.10900270007332,-19.775639490400195,40,840,3145
Circuit,64,16,3,2,10.718100859053063,3.7287207556973043,1.4040374316729738,-18.912110674593567,-52.60411032063892,-18.31956435137934,40,840,3120
Circuit,64,32,3,2,7.961185413394763,2.908806646676941,1.205750753518135,-14.876413724474883,-41.22683004580205,-14.997274809933705,40,837,3061
Circuit,64,16,7,4,11.42649580207387,3.9306526732949405,1.4733462610038457,-19.833166571392553,-54.25672185304415,-19.02038292926508,40,839,3087
Circuit,64,32,7,4,7.8172375032489185,2.8635992008270597,1.2063344163714074,-14.094246057114207,-39.50437743303032,-13.991933868381144,40,838,3057
FloorPlan,64,8,1,0,2.288834107685978,1.4100247675274242,0.8460015344322267,1.1872483017345727,-1.7801827127110768,-3.055267467970765,56,730,4058
FloorPlan,64,16,1,0,1.9589316138603063,1.2066110707295894,0.8103072183369452,0.6674188531752531,-1.4831715792364746,-1.8828354951715296,56,726,4058
FloorPlan,64,32,1,0,1.9791762439366625,1.1879652921981876,0.8305720039143144,1.3718931975666766,-1.3500853680005633,-2.9119121902241005,56,728,4035
FloorPlan,64,8,3,2,3.6054306106000906,1.9107180621957063,0.9558728639331949,4.65369398429219,2.3308755455943735,-4.943363096429204,56,730,3997
FloorPlan,64,16,3,2,2.932475792071368,1.5513373548378229,0.8950831703908516,1.8409443330394346,-0.8177481263619445,-3.552543221278456,56,732,4062
FloorPlan,64,32,3,2,1.771731763086617,1.119746755040747,0.8153122906431937,1.108006315123556,-0.40899303442221735,-2.3391345178057814,56,730,4014
FloorPlan,64,16,7,4,3.1896846806774897,1.6882539779595922,0.8949173744703319,3.0278532841736294,0.6669727995598929,-3.3939711820205174,56,732,4014
FloorPlan,64,32,7,4,2.052861386961453,1.2645473718319558,0.8387693680679351,1.6443656767733563,-0.09055211170624508,-2.723513338976335,56,731,4039
